School,State,SAT 25,SAT 75,ACT 25,ACT 75,Average GPA,Acceptance Rate
Dominican College of Blauvelt,New York,1200,1450,18,23,2.83,69%
College of Mount Saint Vincent,New York,1250,1510,17,23,3.3,92%
CUNY New York City College of Technology,New York,843,1030,,,,87%
Long Island University Brooklyn Campus,New York,1190,1540,17,22,2.9,83%
CUNY Medgar Evers College,New York,750,925,,,,93%
American Musical and Dramatic Academy,New York,,,,,,43%
Bard College,New York,,,,,3.5,35%
Metropolitan College of New York,New York,,,,,,46%
Culinary Institute of America,New York,,,,,3.1,81%
Daemen College,New York,,,,,3.62,50%
Dowling College,New York,,,,,2.7,79%
Fashion Institute of Technology,New York,,,,,,43%
Hilbert College,New York,,,,,3.1,77%
Hobart William Smith Colleges,New York,,,,,3.32,53%
The Juilliard School,New York,,,,,,7%
Keuka College,New York,,,,,3.1,65%
Manhattan School of Music,New York,,,,,,37%
Marist College,New York,,,,,3.3,31%
Mercy College,New York,,,,,2.9,64%
Mesivta Torah Vodaath Rabbinical Seminary,New York,,,,,,92%
Mesivtha Tifereth Jerusalem of America,New York,,,,,,94%
Nazareth College,New York,,,,,,71%
The Sage Colleges,New York,,,,,3.2,55%
St Lawrence University,New York,,,,,3.49,48%
Sarah Lawrence College,New York,,,,,3.6,60%
SUNY College of Technology at Canton,New York,,,,,,67%
SUNY College at Potsdam,New York,,,,,3.2,65%
SUNY Empire State College,New York,,,,,,80%
Touro College,New York,,,,,3.5,66%
Trocaire College,New York,,,,,,93%
Union College,New York,1810,2090,28,31,3.5,38%
Villa Maria College,New York,,,,,,81%
Yeshiva Karlin Stolin,New York,,,,,,91%
Yeshiva Shaar Hatorah,New York,,,,,,68%
Rabbinical College of Ohr Shimon Yisroel,New York,,,,,,86%
New York College of Health Professions,New York,,,,,,81%
Yeshiva Shaarei Torah of Rockland,New York,,,,,,86%
Duke University,North Carolina,2040,2330,30,34,,14%
Davidson College,North Carolina,1840,2150,29,33,3.9,25%
University of North Carolina at Chapel Hill,North Carolina,1780,2100,28,32,4.6,33%
Elon University,North Carolina,1680,1980,23,26,3.99,52%
Campbell University,North Carolina,1155,1950,17,27,,29%
North Carolina State University at Raleigh,North Carolina,1660,1930,25,30,4.37,53%
University of North Carolina at Wilmington,North Carolina,1620,1850,22,26,4.06,53%
University of North Carolina School of the Arts,North Carolina,1490,1850,20,26,3.67,42%
Queens University of Charlotte,North Carolina,1400,1700,21,26,3.57,53%
Appalachian State University,North Carolina,1560,1830,24,28,4.05,62%
Catawba College,North Carolina,870,1100,,,2.36,45%
University of North Carolina at Asheville,North Carolina,1620,1910,24,27,3.98,68%
Salem College,North Carolina,1000,1200,22,27,,61%
Western Carolina University,North Carolina,1380,1660,20,24,3.67,39%
Meredith College,North Carolina,930,1140,20,25,3.24,62%
Guilford College,North Carolina,1390,1770,20,26,3.16,80%
East Carolina University,North Carolina,1430,1660,21,24,3.59,61%
University of North Carolina at Greensboro,North Carolina,1370,1660,21,25,3.64,59%
Barton College,North Carolina,1230,1500,18,22,3.07,44%
University of North Carolina at Charlotte,North Carolina,1450,1710,20,25,3.82,70%
Greensboro College,North Carolina,1170,1500,15,21,,47%
Montreat College,North Carolina,820,1080,17,23,3.13,54%
Warren Wilson College,North Carolina,1530,1860,23,27,3.5,96%
Gardner Webb University,North Carolina,1330,1670,19,25,3.72,83%
Piedmont International University,North Carolina,680,1020,15,23,,53%
Wingate University,North Carolina,1340,1650,19,24,3.34,81%
Belmont Abbey College,North Carolina,868,1070,18,24,3.13,64%
Lenoir Rhyne University,North Carolina,880,1080,18,23,3.7,67%
Mount Olive College,North Carolina,820,1020,17,20,,54%
Brevard College,North Carolina,850,1050,18,22,2.97,54%
Johnson C Smith University,North Carolina,733,920,15,19,2.97,38%
Pfeiffer University,North Carolina,1250,1560,18,22,3.5,60%
Elizabeth City State University,North Carolina,1150,1360,16,18,4.0,50%
Methodist University,North Carolina,1260,1550,18,23,3.24,61%
Mid Atlantic Christian University,North Carolina,700,1030,14,20,2.91,42%
North Carolina Central University,North Carolina,1160,1380,16,19,3.1,52%
Cabarrus College of Health Sciences,North Carolina,890,1050,21,25,,52%
William Peace University,North Carolina,810,1030,16,21,3.07,59%
Winston Salem State University,North Carolina,1220,1420,16,19,3.15,56%
Saint Augustines College,North Carolina,665,858,13,17,2.37,47%
Mars Hill College,North Carolina,830,1040,17,23,3.23,68%
North Carolina Wesleyan College,North Carolina,770,970,15,20,,54%
North Carolina A & T State University,North Carolina,1210,1450,17,21,2.68,66%
Chowan University,North Carolina,1040,1290,14,17,2.64,58%
Fayetteville State University,North Carolina,1140,1350,17,19,2.95,64%
Lees McRae College,North Carolina,,,,,3.14,68%
Livingstone College,North Carolina,950,1210,13,16,,64%
University of North Carolina at Pembroke,North Carolina,1230,1490,18,21,3.29,70%
Bennett College for Women,North Carolina,,,,,,71%
Laurel University,North Carolina,,,,,,52%
Shaw University,North Carolina,,,,,2.36,48%
Wake Forest University,North Carolina,,,,,,34%
Johnson & Wales University Charlotte,North Carolina,,,,,3.15,56%
University of North Dakota,North Dakota,1420,1750,21,26,,71%
University of Mary,North Dakota,900,1130,20,25,,75%
Minot State University,North Dakota,866,1043,19,24,3.31,54%
Jamestown College,North Dakota,860,1100,21,24,3.2,56%
North Dakota State University Main Campus,North Dakota,1430,1855,21,26,3.41,84%
Dickinson State University,North Dakota,1210,1513,18,23,,67%
Valley City State University,North Dakota,1240,1410,18,23,3.15,81%
Oberlin College,Ohio,1915,2185,28,32,3.57,31%
Kenyon College,Ohio,1860,2140,28,32,3.9,36%
Denison University,Ohio,1190,1330,27,31,3.6,50%
Case Western Reserve University,Ohio,1890,2190,29,33,,54%
University of Dayton,Ohio,1520,1820,24,29,3.64,55%
The College of Wooster,Ohio,1660,1980,25,30,3.66,58%
Ohio State University Main Campus,Ohio,1700,2040,27,31,,64%
Xavier University,Ohio,1500,1800,23,27,3.62,68%
Miami University Oxford,Ohio,1120,1330,25,30,3.63,73%
Baldwin Wallace College,Ohio,950,1200,21,27,3.5,65%
Cedarville University,Ohio,1600,1910,24,29,3.64,75%
Franciscan University of Steubenville,Ohio,1050,1270,23,28,3.69,76%
University of Cincinnati Main Campus,Ohio,1490,1860,22,28,3.46,68%
Hiram College,Ohio,1310,1740,19,25,,62%
Bluffton University,Ohio,870,1140,19,25,3.23,58%
Ohio Wesleyan University,Ohio,1480,1860,22,27,3.4,74%
Ohio Northern University,Ohio,1520,1890,23,29,3.7,81%
Capital University,Ohio,1400,1790,21,27,3.44,75%
Cleveland Institute of Art,Ohio,1370,1820,19,26,,71%
The University of Findlay,Ohio,1430,1710,21,26,3.3,68%
John Carroll University,Ohio,1470,1790,22,27,3.53,81%
Malone University,Ohio,923,1136,19,26,3.3,70%
Mount Vernon Nazarene University,Ohio,950,1200,20,26,3.34,73%
Wittenberg University,Ohio,1040,1240,23,25,3.4,91%
Kettering College of Medical Arts,Ohio,1400,1850,20,22,,22%
Marietta College,Ohio,940,1290,21,27,3.41,68%
Ohio University Main Campus,Ohio,1440,1780,22,26,3.42,78%
Otterbein University,Ohio,1450,1745,21,26,3.5,76%
Art Academy of Cincinnati,Ohio,1350,1640,19,24,,26%
Ashland University,Ohio,1310,1630,20,25,3.3,71%
University of Mount Union,Ohio,980,1120,20,25,3.23,74%
Ohio Dominican University,Ohio,1350,1640,20,24,3.34,66%
Tiffin University,Ohio,860,1063,18,23,3.02,51%
Walsh University,Ohio,920,1150,20,25,3.35,78%
College of Mount St. Joseph,Ohio,780,1070,19,24,3.2,70%
Lake Erie College,Ohio,1275,1575,19,23,,63%
Bowling Green State University Main Campus,Ohio,1330,1710,19,24,3.3,74%
Defiance College,Ohio,790,1080,18,23,3.03,62%
Muskingum University,Ohio,1200,1560,18,24,3.2,77%
Ursuline College,Ohio,1350,1810,19,24,3.34,58%
Cincinnati Christian University,Ohio,1263,1645,18,24,3.12,67%
Notre Dame College,Ohio,816,1020,18,22,,51%
Mount Carmel College of Nursing,Ohio,,,20,24,3.5,73%
Cleveland State University,Ohio,910,1150,19,25,3.19,63%
Columbus College of Art and Design,Ohio,1380,1760,19,25,3.12,87%
Kent State University at Kent,Ohio,1390,1700,20,25,3.31,87%
Central State University,Ohio,730,920,15,19,2.6,37%
Ohio Christian University,Ohio,1140,1450,17,23,,72%
University of Akron Main Campus,Ohio,920,1200,18,25,3.0,97%
Wilmington College,Ohio,850,1120,19,24,3.2,92%
Cleveland Institute of Music,Ohio,,,,,,38%
Mercy College of Ohio,Ohio,,,,,,60%
Wilberforce University,Ohio,,,,,,42%
University of Tulsa,Oklahoma,1130,1400,25,32,3.8,41%
Oklahoma Christian University,Oklahoma,1350,1800,22,28,3.5,45%
Oklahoma City University,Oklahoma,1470,1850,23,29,3.59,70%
University of Oklahoma Norman Campus,Oklahoma,1030,1280,23,29,3.59,79%
Oral Roberts University,Oklahoma,910,1130,20,25,3.45,59%
Oklahoma State University Main Campus,Oklahoma,1010,1220,22,28,3.53,78%
Oklahoma Baptist University,Oklahoma,930,1200,21,27,3.64,62%
University of Science and Arts of Oklahoma,Oklahoma,905,1075,18,24,3.43,39%
Oklahoma Wesleyan University,Oklahoma,1240,1580,18,24,,51%
Saint Gregorys University,Oklahoma,,,,,3.29,43%
Hillsdale Free Will Baptist College,Oklahoma,1025,1410,18,20,,45%
Rogers State University,Oklahoma,,,17,23,,55%
Bacone College,Oklahoma,735,995,15,19,,39%
Southwestern Christian University,Oklahoma,1270,1750,17,23,,88%
University of Central Oklahoma,Oklahoma,,,20,24,3.3,79%
Northwestern Oklahoma State University,Oklahoma,,,17,22,3.22,73%
Oklahoma Panhandle State University,Oklahoma,,,16,21,,61%
Southeastern Oklahoma State University,Oklahoma,,,18,22,3.27,75%
Southwestern Oklahoma State University,Oklahoma,,,18,24,3.4,91%
Northeastern State University,Oklahoma,,,18,23,3.31,76%
East Central University,Oklahoma,800,1090,18,23,3.3,95%
Reed College,Oregon,1918,2190,28,33,3.9,36%
University of Portland,Oregon,1090,1300,,,3.63,67%
Corban University,Oregon,1400,1748,20,26,3.57,34%
Willamette University,Oregon,1615,1950,24,29,3.69,83%
University of Oregon,Oregon,990,1220,22,27,3.6,73%
Concordia University Portland,Oregon,890,1100,18,24,3.42,53%
George Fox University,Oregon,1400,1790,20,26,3.56,75%
Linfield College McMinnville Campus,Oregon,1450,1770,21,26,3.66,83%
Oregon State University,Oregon,970,1230,21,27,3.56,78%
Pacific University,Oregon,990,1210,21,27,3.6,85%
Warner Pacific College,Oregon,,,,,3.17,58%
Portland State University,Oregon,920,1170,,,3.38,66%
Multnomah University,Oregon,1480,1820,19,27,3.43,71%
Oregon Institute of Technology,Oregon,1320,1660,20,25,,64%
Eastern Oregon University,Oregon,1230,1550,,,3.1,65%
Southern Oregon University,Oregon,1340,1670,,,3.3,75%
Northwest Christian University,Oregon,1315,1605,18,23,3.39,66%
Western Oregon University,Oregon,830,1070,,,3.2,88%
New Hope Christian College,Oregon,,,,,,29%
Lewis & Clark College,Oregon,1760,2060,26,31,3.9,64%
Mount Angel Seminary,Oregon,,,,,,87%
Oregon College of Art and Craft,Oregon,,,,,3.0,82%
Pacific Northwest College of Art,Oregon,,,,,,58%
University of Pennsylvania,Pennsylvania,2050,2320,30,34,3.9,13%
Swarthmore College,Pennsylvania,2030,2300,31,34,,14%
Haverford College,Pennsylvania,1970,2240,30,33,,23%
Carnegie Mellon University,Pennsylvania,1990,2280,30,34,3.69,28%
Bucknell University,Pennsylvania,1800,2090,27,32,3.54,27%
Lafayette College,Pennsylvania,1760,2060,27,31,3.46,34%
Lehigh University,Pennsylvania,1220,1410,28,32,,33%
Bryn Mawr College,Pennsylvania,1830,2190,27,32,,41%
Dickinson College,Pennsylvania,1780,2045,27,31,,40%
Gettysburg College,Pennsylvania,1200,1370,27,29,3.4,40%
Muhlenberg College,Pennsylvania,1710,2010,25,31,3.29,46%
Villanova University,Pennsylvania,1810,2090,29,31,3.86,46%
Penn State Main Campus,Pennsylvania,1630,1940,25,29,3.59,52%
University of Pittsburgh Pittsburgh Campus,Pennsylvania,1730,2000,26,30,3.97,58%
Allegheny College,Pennsylvania,1590,1920,23,29,3.74,63%
Juniata College,Pennsylvania,,,,,3.74,66%
Messiah College,Pennsylvania,1530,1880,23,29,3.73,64%
Westminster College,Pennsylvania,1365,1710,20,25,3.46,57%
Arcadia University,Pennsylvania,1490,1768,22,27,3.65,57%
Ursinus College,Pennsylvania,1590,1920,24,30,,70%
Bryn Athyn College of the New Church,Pennsylvania,1340,1660,20,25,,45%
University of the Sciences,Pennsylvania,1600,1890,23,27,3.61,63%
West Chester University of Pennsylvania,Pennsylvania,1510,1780,,,3.52,50%
Albright College,Pennsylvania,930,1130,20,25,3.33,47%
Elizabethtown College,Pennsylvania,1000,1230,21,28,,70%
Misericordia University,Pennsylvania,970,1140,20,26,3.3,59%
Lebanon Valley College,Pennsylvania,1000,1220,22,27,,65%
Drexel University,Pennsylvania,1590,1940,24,30,3.6,75%
Saint Vincent College,Pennsylvania,1365,1720,20,25,3.53,66%
Susquehanna University,Pennsylvania,1510,1840,23,27,3.33,76%
DeSales University,Pennsylvania,930,1190,22,26,,72%
Geneva College,Pennsylvania,1400,1760,20,26,,72%
Temple University,Pennsylvania,1510,1840,22,27,3.41,67%
Duquesne University,Pennsylvania,1530,1810,22,27,3.7,75%
Edinboro University of Pennsylvania,Pennsylvania,1220,1540,17,22,3.14,44%
Saint Joseph's University,Pennsylvania,1530,1800,22,26,3.51,78%
Lycoming College,Pennsylvania,1380,1700,21,26,3.44,72%
The University of the Arts,Pennsylvania,890,1130,18,25,,69%
Eastern University,Pennsylvania,1420,1700,18,24,3.44,67%
Millersville University of Pennsylvania,Pennsylvania,1360,1650,19,24,,63%
Baptist Bible College and Seminary,Pennsylvania,1323,1656,20,24,3.31,41%
Mercyhurst College,Pennsylvania,1400,1720,21,26,3.37,77%
University of Scranton,Pennsylvania,1030,1210,22,27,3.37,89%
Bloomsburg University of Pennsylvania,Pennsylvania,1330,1610,19,23,3.3,63%
Lancaster Bible College,Pennsylvania,1300,1680,16,22,,52%
Rosemont College,Pennsylvania,800,1040,19,23,3.2,50%
Moore College of Art and Design,Pennsylvania,850,1100,18,29,,54%
Penn State Erie Behrend College,Pennsylvania,1390,1700,19,25,3.25,83%
Philadelphia Biblical University Langhorne,Pennsylvania,873,1138,18,26,3.23,74%
Saint Francis University,Pennsylvania,1390,1660,20,25,3.57,74%
Waynesburg University,Pennsylvania,890,1110,20,25,3.57,76%
Marywood University,Pennsylvania,1410,1720,,,3.36,69%
York College Pennsylvania,Pennsylvania,1400,1688,20,25,3.54,74%
La Roche College,Pennsylvania,1180,1510,17,24,3.19,52%
Philadelphia University,Pennsylvania,1430,1730,21,25,3.43,64%
Wilson College,Pennsylvania,1290,1680,19,24,,62%
Slippery Rock University of Pennsylvania,Pennsylvania,1360,1620,19,23,3.4,61%
Cedar Crest College,Pennsylvania,1250,1560,17,24,3.26,61%
Delaware Valley University,Pennsylvania,1300,1663,19,25,3.51,74%
Gannon University,Pennsylvania,930,1150,20,26,3.52,83%
Indiana University of Pennsylvania Main Campus,Pennsylvania,1320,1590,17,22,,58%
Point Park University,Pennsylvania,1310,1650,19,25,3.21,76%
Seton Hill University,Pennsylvania,1340,1720,19,26,3.54,66%
Valley Forge Christian College,Pennsylvania,890,1040,19,25,,72%
Carlow University,Pennsylvania,1275,1555,17,23,,49%
Penn State Altoona,Pennsylvania,1320,1620,19,23,3.04,84%
Penn State Harrisburg,Pennsylvania,1330,1690,22,24,3.08,79%
Clarion University of Pennsylvania,Pennsylvania,1180,1530,,,3.21,47%
Wilkes University,Pennsylvania,1400,1730,,,,76%
California University of Pennsylvania,Pennsylvania,1290,1580,17,21,3.1,59%
Pennsylvania College of Health Sciences,Pennsylvania,850,1060,,,,28%
La Salle University,Pennsylvania,880,1100,19,25,3.29,74%
Lincoln University of Pennsylvania,Pennsylvania,1140,1400,15,20,2.8,25%
Penn State Hazleton,Pennsylvania,1230,1560,20,24,,87%
Penn State Berks,Pennsylvania,1280,1620,19,25,3.02,82%
Robert Morris University,Pennsylvania,1390,1690,21,24,3.46,82%
Gwynedd Mercy College,Pennsylvania,1270,1570,16,22,3.23,66%
Lock Haven University,Pennsylvania,1250,1530,17,23,3.28,61%
Widener University Main Campus,Pennsylvania,920,1130,,,3.4,66%
Holy Family University,Pennsylvania,1260,1530,16,22,3.06,67%
Penn State New Kensington,Pennsylvania,1270,1640,16,27,,80%
Kutztown University of Pennsylvania,Pennsylvania,1290,1560,18,22,3.17,68%
Mansfield University of Pennsylvania,Pennsylvania,1250,1570,19,23,3.31,69%
Cabrini College,Pennsylvania,1160,1500,17,23,3.0,73%
University of Pittsburgh Bradford,Pennsylvania,1270,1600,19,23,3.18,69%
University of Pittsburgh Johnstown,Pennsylvania,1360,1660,20,24,3.4,88%
Penn State Wilkes Barre,Pennsylvania,1280,1620,19,23,,88%
Shippensburg University of Pennsylvania,Pennsylvania,1320,1600,18,22,3.2,81%
Thiel College,Pennsylvania,870,1060,18,23,3.07,65%
University of Pittsburgh Greensburg,Pennsylvania,1370,1630,20,24,3.46,86%
East Stroudsburg University of Pennsylvania,Pennsylvania,880,1010,18,22,,81%
Immaculata University,Pennsylvania,1270,1580,18,21,3.23,80%
Penn State York,Pennsylvania,1265,1630,21,25,,79%
Penn State Beaver,Pennsylvania,1230,1570,16,24,,86%
Alvernia University,Pennsylvania,1330,1600,18,22,3.27,80%
Penn State Shenango,Pennsylvania,1170,1470,15,22,,74%
Penn State Dubois,Pennsylvania,1220,1575,20,22,,88%
Penn State Lehigh Valley,Pennsylvania,1300,1650,19,28,2.98,87%
Neumann University,Pennsylvania,1150,1420,16,20,2.88,79%
Penn State Abington,Pennsylvania,1210,1570,18,24,3.12,78%
Penn State Mont Alto,Pennsylvania,1220,1595,20,23,,85%
Penn State Worthington Scranton,Pennsylvania,1240,1550,19,22,,82%
Chestnut Hill College,Pennsylvania,1270,1580,19,23,3.24,90%
Penn State Greater Allegheny,Pennsylvania,1220,1580,18,24,,81%
Penn State Schuylkill,Pennsylvania,1080,1445,18,21,2.75,79%
Penn State Brandywine,Pennsylvania,1270,1610,17,23,,83%
Mount Aloysius College,Pennsylvania,1195,1490,18,22,3.3,76%
Penn State Fayette Eberly Campus,Pennsylvania,1200,1570,18,21,,90%
Keystone College,Pennsylvania,1190,1490,17,21,,91%
Chatham University,Pennsylvania,,,,,3.6,60%
Franklin and Marshall College,Pennsylvania,,,,,,39%
King's College,Pennsylvania,,,,,3.34,70%
Moravian College and Moravian Theological Seminary,Pennsylvania,,,,,3.38,78%
Pennsylvania Academy of the Fine Arts,Pennsylvania,,,,,,94%
Pennsylvania College of Art and Design,Pennsylvania,,,,,,40%
Talmudical Yeshiva of Philadelphia,Pennsylvania,,,,,,88%
Washington & Jefferson College,Pennsylvania,,,,,3.33,41%
Brown University,Rhode Island,2000,2310,29,34,,10%
Rhode Island School of Design,Rhode Island,1640,2070,24,32,3.5,25%
Providence College,Rhode Island,1580,1900,23,28,3.37,61%
Salve Regina University,Rhode Island,1525,1790,23,26,3.2,70%
Bryant University,Rhode Island,1550,1810,23,27,3.3,77%
University of Rhode Island,Rhode Island,1450,1750,22,26,3.3,85%
Rhode Island College,Rhode Island,1230,1560,17,22,,73%
Johnson & Wales University Providence,Rhode Island,,,,,3.12,71%
Roger Williams University,Rhode Island,,,,,3.23,77%
Clemson University,South Carolina,1640,1950,26,31,4.18,63%
Wofford College,South Carolina,1600,1880,24,29,3.54,63%
University of South Carolina Columbia,South Carolina,1100,1290,24,29,4.15,63%
Presbyterian College,South Carolina,1000,1210,22,28,3.47,58%
Converse College,South Carolina,960,1160,21,26,3.89,51%
Furman University,South Carolina,1120,1340,25,30,,77%
North Greenville University,South Carolina,1360,2000,21,29,3.4,60%
College of Charleston,South Carolina,1070,1260,23,28,3.84,74%
Columbia International University,South Carolina,1400,1790,19,25,3.66,64%
Columbia College,South Carolina,920,1130,20,24,3.71,65%
Erskine College and Seminary,South Carolina,910,1110,19,24,3.0,66%
Citadel Military College of South Carolina,South Carolina,1430,1750,21,25,3.53,77%
Winthrop University,South Carolina,920,1140,19,25,3.81,71%
Newberry College,South Carolina,1200,1560,17,22,3.32,34%
Anderson University,South Carolina,1420,1760,21,26,3.5,71%
University of South Carolina Aiken,South Carolina,1280,1600,18,23,3.58,51%
Lander University,South Carolina,1243,1550,18,22,3.66,42%
Coker College,South Carolina,870,1050,18,22,2.97,58%
Claflin University,South Carolina,760,1000,15,21,3.28,39%
Francis Marion University,South Carolina,1220,1560,17,22,3.61,59%
Limestone College,South Carolina,930,1090,20,23,3.18,53%
University of South Carolina Upstate,South Carolina,880,1070,19,23,3.7,65%
Coastal Carolina University,South Carolina,910,1080,19,23,3.4,75%
Charleston Southern University,South Carolina,870,1080,18,23,,82%
Southern Wesleyan University,South Carolina,1188,1560,15,22,,96%
University of South Carolina Beaufort,South Carolina,830,1010,18,22,3.3,75%
South Carolina State University,South Carolina,825,852,17,19,2.9,97%
Voorhees College,South Carolina,,,,,2.72,81%
University of South Dakota,South Dakota,890,1200,21,26,3.36,49%
University of Sioux Falls,South Dakota,1240,1450,20,26,,56%
Augustana College,South Dakota,,,21,27,3.69,76%
South Dakota School of Mines and Technology,South Dakota,1060,1290,24,28,3.5,88%
Dakota Wesleyan University,South Dakota,810,1170,19,27,,73%
Mount Marty College,South Dakota,,,20,25,3.43,71%
South Dakota State University,South Dakota,900,1190,20,25,3.32,92%
Northern State University,South Dakota,790,1120,19,25,3.14,90%
Presentation College,South Dakota,1130,1390,18,22,,74%
Dakota State University,South Dakota,840,1170,19,24,3.1,89%
Black Hills State University,South Dakota,1261,1739,19,23,,91%
Vanderbilt University,Tennessee,2090,2340,32,34,3.76,14%
Rhodes College,Tennessee,1170,1370,27,31,3.78,55%
Sewanee The University of the South,Tennessee,1710,1990,26,30,3.6,59%
Baptist Memorial College of Health Sciences,Tennessee,,,22,27,3.42,25%
Lipscomb University,Tennessee,1030,1300,22,28,3.56,52%
Bryan University Dayton,Tennessee,1380,1780,20,25,,52%
Freed Hardeman University,Tennessee,950,1170,21,27,3.53,44%
Christian Brothers University,Tennessee,,,21,27,3.73,46%
Southern Adventist University,Tennessee,1380,1770,20,25,,45%
The University of Tennessee,Tennessee,1040,1290,24,29,3.85,67%
Milligan College,Tennessee,1390,1766,22,26,3.6,67%
Union University,Tennessee,1100,1350,22,29,3.67,75%
Belmont University,Tennessee,1070,1270,24,29,3.6,84%
Aquinas College,Tennessee,790,960,23,27,3.5,50%
Fisk University,Tennessee,1270,1300,17,18,2.98,11%
Johnson University,Tennessee,1420,1690,19,24,3.27,60%
Maryville College,Tennessee,900,1100,21,26,3.45,66%
Memphis College of Art,Tennessee,910,1150,19,25,3.16,50%
Trevecca Nazarene University,Tennessee,930,1160,19,26,3.3,77%
Lincoln Memorial University,Tennessee,980,1040,19,27,3.44,65%
Visible Music College,Tennessee,1030,2010,17,31,,54%
Carson Newman College,Tennessee,910,1155,20,26,3.4,66%
University of Memphis,Tennessee,1360,1780,19,25,3.33,62%
Lee University,Tennessee,950,1180,21,27,3.53,89%
Bethel University,Tennessee,835,1015,17,22,2.9,55%
Tennessee Technological University,Tennessee,920,1250,20,26,3.5,93%
Cumberland University,Tennessee,1270,1600,19,23,3.3,47%
Middle Tennessee State University,Tennessee,900,1150,19,24,3.35,67%
Tennessee Temple University,Tennessee,1160,1490,16,20,,54%
The University of Tennessee at Chattanooga,Tennessee,940,1180,21,25,3.37,76%
The University of Tennessee Martin,Tennessee,,,20,25,3.44,76%
King College,Tennessee,920,1120,20,25,3.4,72%
East Tennessee State University,Tennessee,890,1100,19,25,3.3,87%
Hiwassee College,Tennessee,560,640,16,20,,54%
O'More College of Design,Tennessee,,,20,25,,69%
Tennessee Wesleyan College,Tennessee,880,1050,19,24,3.25,76%
Tusculum College,Tennessee,840,1040,18,23,3.1,72%
Austin Peay State University,Tennessee,860,1100,19,24,3.2,83%
Watkins College of Art Design & Film,Tennessee,1255,1675,18,23,3.2,94%
Lane College,Tennessee,1280,1720,13,16,2.8,33%
Le Moyne Owen College,Tennessee,,,14,17,2.5,23%
Rice University,Texas,2040,2320,31,34,,17%
The University of Texas at Austin,Texas,1690,2060,25,31,,47%
Texas Christian University,Texas,1630,1910,25,29,,41%
Southern Methodist University,Texas,1810,2070,27,31,3.7,54%
The University of Texas at Dallas,Texas,1150,1370,25,31,3.9,52%
Austin College,Texas,1620,1960,23,27,3.56,59%
Trinity University,Texas,1150,1370,26,31,3.5,64%
Baylor University,Texas,1650,1970,24,29,,61%
Dallas Baptist University,Texas,948,1304,18,27,3.5,41%
Southwestern University,Texas,1060,1280,22,29,,61%
Abilene Christian University,Texas,1410,1740,21,27,3.58,45%
LeTourneau University,Texas,1030,1300,22,30,3.62,43%
Texas A & M University College Station,Texas,1560,1900,23,29,,67%
Saint Edward's University,Texas,1510,1820,22,26,,63%
Houston Baptist University,Texas,1410,1730,21,27,,35%
Texas Tech University,Texas,1480,1770,22,27,,64%
University of Houston,Texas,1030,1250,22,27,,56%
St. Mary's University,Texas,1400,1695,21,24,3.4,55%
University of Dallas,Texas,1620,1990,24,30,3.82,88%
Hardin Simmons University,Texas,1360,1640,20,25,3.63,54%
Dallas Christian College,Texas,1169,1489,18,22,,40%
University of North Texas,Texas,1000,1210,21,26,,64%
University of Mary Hardin Baylor,Texas,1370,1670,21,27,3.56,57%
Texas State University,Texas,1380,1670,21,25,,66%
Texas Lutheran University,Texas,1360,1680,20,25,3.7,53%
Howard Payne University,Texas,860,1050,18,22,3.5,50%
Texas A & M University Galveston,Texas,1020,1200,22,26,,55%
Concordia University Texas,Texas,930,1120,20,25,3.3,49%
Texas A & M University Commerce,Texas,880,1090,18,24,,39%
University of St Thomas,Texas,1483,1798,23,28,3.61,80%
Texas Wesleyan University,Texas,1363,1610,19,22,3.31,50%
The University of Texas at Arlington,Texas,1410,1760,20,26,,69%
Stephen F Austin State University,Texas,1310,1610,19,24,,56%
Sam Houston State University,Texas,920,1090,19,23,,65%
McMurry University,Texas,860,1090,18,24,3.52,55%
Schreiner University,Texas,1300,1610,19,24,3.52,63%
Texas A & M University Texarkana,Texas,1300,1630,19,23,,35%
Texas A & M International University,Texas,800,1011,16,20,,47%
East Texas Baptist University,Texas,880,1050,18,22,3.33,59%
Prairie View A & M University,Texas,1110,1390,15,20,3.02,39%
Tarleton State University,Texas,1290,1580,19,23,,62%
The University of Texas at Tyler,Texas,1410,1708,21,25,3.4,80%
Lubbock Christian University,Texas,1310,1690,19,24,3.37,93%
Northwood University Texas,Texas,820,1020,17,22,3.35,59%
The University of Texas Pan American,Texas,1250,1550,18,21,,68%
West Texas A & M University,Texas,860,1080,19,24,,69%
University of Houston Victoria,Texas,810,1008,16,21,,51%
Midwestern State University,Texas,1320,1610,19,23,3.43,75%
The University of Texas at San Antonio,Texas,1380,1700,20,25,,78%
Huston Tillotson University,Texas,700,900,13,17,2.8,54%
Texas Southern University,Texas,1100,1360,15,19,2.96,53%
Our Lady of the Lake University San Antonio,Texas,820,990,14,21,,65%
University of the Incarnate Word,Texas,870,1060,18,23,3.48,94%
The University of Texas of the Permian Basin,Texas,925,1120,19,23,,82%
Texas Woman's University,Texas,1240,1590,17,23,3.25,86%
Texas A & M University Corpus Christi,Texas,1270,1560,17,23,,90%
Wayland Baptist University,Texas,1180,1520,17,23,3.24,95%
Angelo State University,Texas,860,1060,18,23,,90%
Lamar University,Texas,870,1080,18,23,,88%
Sul Ross State University,Texas,1100,1460,15,21,3.06,85%
Texas A & M University Kingsville,Texas,790,1010,16,21,3.3,93%
Paul Quinn College,Texas,1100,1380,13,18,2.79,86%
